Validacao-humana,Base-sentimento,Stev-sentimento,cidade,texto_limpo
POSITIVO,POSITIVO,POSITIVO,Lisboa,"Adoramos a casa de Rui e Elsa, eles foram claros e rápidos nas nossas comunicações, achei o apartamento ainda mais bonito do que eu esperava pelas fotos, todo renovado, comportou muito bem meu grupo de pessoas, com espaço e conforto. Nos permitiram deixar as malas no apartamento antes do check in e achei ótimo que as coisas básicas como sabão para lavar roupas, detergente, papel higiênico, temperos estavam inclusos, o que evita o nosso gasto com coisas que não serão utilizadas no resto da viagem. Gostei da localização; pelo que vi em Lisboa, se você está perto do metro, você está perto de tudo. Obs. Importante notar que para pessoas com dificuldades motoras pode não ser a melhor opção, uma vez que tem escada para chegar ao apartamento e uns - minutos de caminhada em ruas de pedras."
POSITIVO,POSITIVO,POSITIVO,Lisboa,"A estadia no apartamento de Filipa foi maravilhosa. Tudo estava como descrito no anúncio, limpeza e organização impecáveis. Sempre atenciosa, respondia rapidamente nossas dúvidas. Vamos voltar, com certeza! E recomendo muito!"
POSITIVO,NEGATIVO,POSITIVO,Lisboa,"O apartamento bastante espaçoso, moderno, com todas as necessidades para uma boa estadia. Local tranquilo e proximo a estação do metro de Picoas. Pedro foi bastante simpático e atencioso."
POSITIVO,POSITIVO,POSITIVO,Lisboa,Gostamos da Zona e o apartamento é muito limpo e aconchegante. A Fátima é uma anfitriã muito colaborativo e discreta.
POSITIVO,POSITIVO,POSITIVO,Lisboa,Apartamento com quartos ideal para famílias. O local ideal para uma estadia em Lisboa. Havemos de repetir!
POSITIVO,NEGATIVO,POSITIVO,Lisboa,Óptimo como sempre
POSITIVO,POSITIVO,POSITIVO,Lisboa,"O apartamento é excelente. A localização é muito boa, próximo ao metrô e a diversos pontos de ônibus. Muito fácil chegar. Checkin e checkout realizados de maneira rápida e fácil."
POSITIVO,POSITIVO,POSITIVO,Lisboa,Ótima localização. O proprietário foi excepcional. Muito atencioso. Recomendo muito.
POSITIVO,POSITIVO,POSITIVO,Lisboa,"Para quem precisa de um local próximo do aeroporto , é perfeito."
POSITIVO,POSITIVO,POSITIVO,Lisboa,"Gostamos muito do apartamento, grande com muita luz, com tudo que se necesita numa estadia fora de casa, zona calma e tranquila, perto de tudo, muito fácil acesso e fácil estacionamento. A Shauna foi muito prestativa e sempre atenta as nossas necessidades. Recomendo vivamente."
POSITIVO,POSITIVO,POSITIVO,Lisboa,"O apartamento é muito grande e muito confortável! Maior que as fotos aparentam. Há três quartos completos e confortáveis. Não há ar condicionado, mas não boa fez falta. Talvez no calor seja um pouco quente, mas não saberia dizer ao certo. Nosso anfitrião foi muito prestativo e simpático! A localização é perfeita! Recomendo fortemente!"
POSITIVO,NEGATIVO,POSITIVO,Lisboa,"O apartamento do Alberto è muito limpo, localização perfeita para quem necessita ficar perto do aeroporto a parte disso fácil acesso a outros pontos da cidade. Recepção calorosa com todas informações Frutas, vinho, água no quarto. Alberto é um gentleman . Super recomendo a casa do Alberto. Minha estadia foi espetacular."
POSITIVO,POSITIVO,POSITIVO,Lisboa,"ótima, sem reclamações a fazer, tud estava organizado e de acordo com o anúncio."
POSITIVO,POSITIVO,POSITIVO,Lisboa,"fomos recebidos por João, extremamente educado e muito gentil. Nos deu várias dicas do que fazer na cidade e foi ótimo! O local é muito aconchegante, nos sentimos em casa. Se pudesse dar uma nota seria"
POSITIVO,NEGATIVO,POSITIVO,Lisboa,"A nossa anfitriã a Maria é uma querida, sempre se dispondo a ajudar, o apt é impecável, limpo, organizado, perto de tudo, o melhor que já ficamos em Belém, voltaremos"
POSITIVO,POSITIVO,POSITIVO,Lisboa,foi tudo òtimo muito calma e bonito
POSITIVO,NEGATIVO,POSITIVO,Lisboa,"A localização do espaço é ótima, perto de metro e com supermercados, lojas, praças e paragens de autocarro. O banheiro estava sempre limpo e quando cheguei havia chocolate e água me esperando. Uma delicadeza que faz toda a diferença. Gostei bastante."
POSITIVO,NEGATIVO,POSITIVO,Lisboa,"Semana muito bem passada, espaço muito agradável. Proprietária muito preocupada com o nosso bem estar."
POSITIVO,POSITIVO,POSITIVO,Lisboa,"Tivemos uma experiência incrível no apartamento na Ana. O apartamento é muito bem equipado com tudo que a família precisa, Decoracão linda, tudo impecável, limpo e cheiroso! ! ! ! A localização é boa e com fácil acesso para qualquer lugar. Nossa estadia ficou na memória e já queremos voltar! A Ana foi sempre muito atenciosa e prestativa com todas as minhas dúvidas e necessidades, indo além das minhas expectativas. Eu recomendo fortemente."
